ID,Burn,In_Out,lat,long,elev,aspect,aspect_SW,slope,hl_index,dist,dwd,d2wd,rdnbr,dnbr,herb_cov,shrub_cov,tree_cov,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,Eref,CMD,MAR,RH,temp,winter_aridity,summer_aridity,PIPO,PSME,ABCO,POTR,PJ
PONOUT236,Ponil,OUT,36.65267503,-105.0289217,2366,67.9320984,-0.920967265,24.4918995,0.75091,36,53.00327696,3.003895924,894,710,10.5,12.5,0,8.792857143,19.37857143,-1.65,21.03571429,415.9285714,278.3571429,47.91428571,76.21428571,284.7857143,2177.142857,3515.785714,186,186.9285714,146.5,273.5,127.1428571,23.64285714,-34.4,36.4,1073.428571,689.5714286,-4274.907143,47.28571429,3.382108869,2.48970166,1.024918159,0,0,0,0,0
PONOUT239,Ponil,OUT,36.65145861,-105.0263145,2350,1.33222,-0.723355546,19.2115002,0.78587,8,21.73907067,1.15081517,897,679,35.5,45,0,8.864285714,19.45714286,-1.592857143,21.04285714,413.5,277.5714286,48.36428571,76.71428571,280.9285714,2193.857143,3496.5,190.7857143,187.5,146.1428571,273.7142857,127.7142857,22.78571429,-34.3,36.5,1080.071429,696.4285714,-4274.864286,47.21428571,3.53137823,2.503120042,1.051391542,0,0,0,0,0
PONOUT316,Ponil,OUT,36.62120791,-105.1028681,2540,5.9468598,-0.776561951,23.3332996,0.765232,46,78.63084263,4.705902705,867,593,51,8,0,7.678571429,18.11428571,-2.6,20.70714286,461.2857143,297.5714286,40.47857143,66.56428571,358.0714286,1903.428571,3860.642857,117.3571429,181.9285714,153.2142857,272,118.7857143,43,-34.2,35,977.5,574.6428571,-4274.507143,50.64285714,0.95864732,2.302811519,0.60320789,0,0,1,0,0
PONOUT317,Ponil,OUT,36.62024152,-105.1049134,2576,358.1520081,-0.68393627,14.4035997,0.793148,21,60.89969868,4.805632589,804,516,68.5,0,0,7.535714286,17.97142857,-2.721428571,20.69285714,466.2142857,299.7857143,39.75,65.53571429,368.2142857,1872.428571,3902.857143,110.9285714,181.2857143,153.8571429,271.8571429,118.0714286,45.92857143,-34.2,34.8,967.5714286,562,-4274.478571,51,0.690212616,2.29129864,0.543648069,10,1,4,0,0
PONOUT318,Ponil,OUT,36.61977076,-105.1071383,2602,0,-0.707106781,12.2117004,0.783902,11,59.70817011,6.824127837,661,442,126,3,0,7.35,17.74285714,-2.835714286,20.58571429,475.0714286,302.7142857,38.62142857,64.07857143,378.8571429,1828.285714,3958.642857,101.7857143,179.5,155.0714286,271.1428571,116.0714286,50.35714286,-34.3,34.6,955.7857143,548.0714286,-4274.507143,51.28571429,0.303374801,2.23408133,0.527119906,0,0,0,0,0
PONOUT319,Ponil,OUT,36.61922667,-105.1004498,2609,7.0735402,-0.788800317,28.6868,0.731049,130,18.54821083,0.829393326,982,597,51.5,18.5,0,7.492857143,17.90714286,-2.757142857,20.67857143,468.7142857,300.7857143,39.43571429,65.07857143,371.5,1861.214286,3918.357143,108.5,181.9285714,154,272.2857143,118.3571429,46.92857143,-34.1,34.7,958.7857143,553.0714286,-4274.45,51.57142857,0.570629782,2.287548966,0.518315777,2,0,1,0,0
PONOUT357,Ponil,OUT,36.6165132,-105.1003904,2656,180,0.707106781,1.83515,0.829539,38,8.987925018,1.000396088,767,500,46.5,2.5,0,7.364285714,17.77857143,-2.864285714,20.66428571,472.7857143,302.7857143,38.8,64.16428571,380.9285714,1833.714286,3956.714286,103,181.3571429,154.3571429,272.2857143,117.8571429,49.57142857,-34.1,34.5,947.4285714,540.5,-4274.414286,52,0.320013819,2.283588343,0.470040172,0,0,0,0,0
PONOUT364,Ponil,OUT,36.61461788,-105.0919114,2566,350.1940002,-0.576346745,33.4934006,0.81761,64,40.48583723,2.464258626,968,632,44,17.5,0,7.75,18.20714286,-2.564285714,20.78571429,458.3571429,296.2857143,40.97142857,67.22142857,354,1925.642857,3834.642857,122.2857143,184.2142857,151.9285714,273.2142857,121,41.57142857,-34,35,976.7857143,575.4285714,-4274.421429,51.14285714,1.115866332,2.330669195,0.573199654,0,0,0,5,0
PONOUT365,Ponil,OUT,36.61300317,-105.093229,2653,90,-0.707106781,1.83515,0.821815,67,22.77141501,1.257800513,950,525,12,29.5,0,7.492857143,17.92857143,-2.807142857,20.72857143,467.9285714,300.8571429,39.48571429,65.12142857,373.4285714,1863.428571,3918.5,109,183.1428571,153.2857143,272.9285714,119.4285714,46.92857143,-34,34.6,954.9285714,550.0714286,-4274.392857,52,0.576066769,2.308729705,0.473321203,5,0,0,0,0
PONOUT366,Ponil,OUT,36.61204968,-105.0904993,2634,152.1029968,0.294090317,7.4291701,0.850067,101,14.86073486,0.630105389,940,473,17,27.5,0,7.592857143,18.03571429,-2.742857143,20.75714286,464.3571429,299,40.03571429,65.89285714,366.7142857,1886.428571,3887.642857,113.8571429,183.9285714,152.7142857,273.2142857,120.3571429,44.71428571,-34,34.7,963.3571429,558.5,-4274.392857,51.85714286,0.776920432,2.317223756,0.498447818,1,0,0,0,0
PONOUT371,Ponil,OUT,36.61249166,-105.0773604,2611,86.6334991,-0.747409785,14.1217003,0.803955,94,2.607096457,0.086711975,1064,703,68,27.5,0,7.742857143,18.23571429,-2.664285714,20.87857143,457.4285714,296.0714286,41.05,67.30714286,358.2142857,1928.857143,3837.642857,123.4285714,186.1428571,150.8571429,274.2142857,123.0714286,41.57142857,-33.8,34.9,969.0714286,568.0714286,-4274.414286,52,1.106177862,2.36280122,0.48895366,0,0,0,0,0
